name,canonical_type,neighborhood,notability_reason,source_note,latitude,longitude,source_url,alias_names,notes
The Midway,club,Dogpatch,large-scale club and electronic music venue,manual SF notable nightlife coverage pass,,,,,
The Independent,live_music,NoPa,major independent live music nightlife venue,manual SF notable nightlife coverage pass,,,,,
Rickshaw Stop,live_music,Hayes Valley,notable indie live music and dance venue,manual SF notable nightlife coverage pass,,,,,
Cafe Du Nord,live_music,Upper Market,notable intimate live music nightlife venue,manual SF notable nightlife coverage pass,,,,,
Bottom of the Hill,live_music,Potrero Hill,notable rock and live music venue,manual SF notable nightlife coverage pass,,,,,
Boom Boom Room,live_music,Fillmore,notable funk blues and late-night live music venue,manual SF notable nightlife coverage pass,,,,,
Madrone Art Bar,bar,NoPa,notable dance and art bar,manual SF notable nightlife coverage pass,,,,,
The Knockout,bar,Mission,notable dive bar with DJ nights and shows,manual SF notable nightlife coverage pass,,,,,
Casements,bar,Mission,notable social bar with nightlife programming,manual SF notable nightlife coverage pass,,,,,
Jolene's,club,Mission,notable LGBTQ dance bar and club,manual SF notable nightlife coverage pass,,,,,
Mother,bar,Mission,notable LGBTQ nightlife bar,manual SF notable nightlife coverage pass,,,,,
The Stud,club,SoMa,notable LGBTQ nightlife institution,manual SF notable nightlife coverage pass,,,,,
Oasis,club,SoMa,notable LGBTQ cabaret and nightlife venue,manual SF notable nightlife coverage pass,,,,,
Powerhouse,bar,SoMa,notable LGBTQ nightlife bar,manual SF notable nightlife coverage pass,,,,,
Lone Star Saloon,bar,SoMa,notable LGBTQ nightlife bar,manual SF notable nightlife coverage pass,,,,,
Aunt Charlie's Lounge,bar,Tenderloin,notable drag and LGBTQ nightlife venue,manual SF notable nightlife coverage pass,,,,,
Martuni's,bar,Upper Market,notable piano and cabaret bar,manual SF notable nightlife coverage pass,,,,,
Black Cat,live_music,Tenderloin,notable jazz and nightlife venue,manual SF notable nightlife coverage pass,,,,,
Local Edition,bar,Financial District,notable cocktail lounge and nightlife venue,manual SF notable nightlife coverage pass,,,,,
Novela,bar,SoMa,notable cocktail lounge,manual SF notable nightlife coverage pass,,,,,
Bar Part Time,bar,Mission,notable wine bar and dance/DJ nightlife venue,manual SF notable nightlife coverage pass,,,,,
Make-Out Room,live_music,Mission,existing seed verification candidate,manual SF notable nightlife coverage pass,,,,,
